Date,Open,High,Low,Close,Volume,company,ticker,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL,,,MSFT,MSFT,MSFT,MSFT,MSFT,AMD,AMD,AMD,AMD,AMD,INTC,INTC,INTC,INTC,INTC,CRM,CRM,CRM,CRM,CRM,JPM,JPM,JPM,JPM,JPM,BAC,BAC,BAC,BAC,BAC,WFC,WFC,WFC,WFC,WFC,GS,GS,GS,GS,GS,SCHW,SCHW,SCHW,SCHW,SCHW
2017-03-27,32.37699433693767,32.80206040466192,32.19814058790224,32.723087310791016,94300400.0,Apple,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-27,,,,,,AMD,AMD,,,,,,13.350000381469727,13.779999732971191,13.210000038146973,13.699999809265137,42686800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-27,,,,,,Bank of America,BAC,,,,,,,,,,,,,,,,,,,,,,,,,,18.535913039610154,19.176515630779463,18.436077983409113,19.15987777709961,119513500.0,,,,,,,,,,,,,,,
2017-03-27,,,,,,Salesforce,CRM,,,,,,,,,,,,,,,,80.55009532769937,81.33570827899193,80.05287251703456,81.15670776367188,3403000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-27,,,,,,Goldman Sachs,GS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.14166879072638,191.31809013186074,186.07742110566195,189.97842407226562,9194800.0,,,,,
2017-03-27,,,,,,Intel,INTC,,,,,,,,,,,28.83510064184177,29.18865359831916,28.728211736359317,29.098209381103516,16992200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-27,,,,,,JPMorgan,JPM,,,,,,,,,,,,,,,,,,,,,68.63181319416235,70.13235897935712,68.39108795061512,70.00396728515625,16689300.0,,,,,,,,,,,,,,,,,,,,
2017-03-27,,,,,,Microsoft,MSFT,58.80964918139448,59.34651948630287,58.55486609797423,59.23732376098633,18614700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-27,,,,,,Charles Schwab,SCHW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.511623294016516,35.5197865979569,33.86351659601847,35.48377990722656,13739500.0
2017-03-27,,,,,,Wells Fargo,WFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52077485292464,44.277589213269316,43.21008337758484,44.126224517822266,16854800.0,,,,,,,,,,
2017-03-28,32.7300582238792,33.45708072030946,32.66269610398687,33.401336669921875,133499200.0,Apple,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-28,,,,,,AMD,AMD,,,,,,13.75,13.859999656677246,13.550000190734863,13.6899995803833,37420200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-28,,,,,,Bank of America,BAC,,,,,,,,,,,,,,,,,,,,,,,,,,19.143240513426985,19.692329417910194,19.134920792228804,19.534257888793945,95761700.0,,,,,,,,,,,,,,,
2017-03-28,,,,,,Salesforce,CRM,,,,,,,,,,,,,,,,80.98764514182939,81.89258661492188,80.84842337673824,81.68375396728516,3216000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-28,,,,,,Goldman Sachs,GS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0626626454738,193.57609889329368,189.65824175136083,193.22222900390625,4471200.0,,,,,
2017-03-28,,,,,,Intel,INTC,,,,,,,,,,,29.05708420074849,29.361302935087558,28.95019535054754,29.270858764648438,18398100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
